medicine_name
Ibuprofeno 600mg 20 Comprimidos
Amoxicilina 500mg 21 Comprimidos
Losartana Potássica 50mg 30 Comprimidos
Sinvastatina 20mg 30 Comprimidos
Omeprazol 20mg 28 Comprimidos
Captopril 25mg 30 Comprimidos
Metformina 850mg 30 Comprimidos
Atenolol 50mg 30 Comprimidos
Prednisona 20mg 20 Comprimidos
Clonazepam 2mg 30 Comprimidos
Fluoxetina 20mg 28 Comprimidos
Cetirizina 10mg 20 Comprimidos
Diclofenaco Sódico 50mg 20 Comprimidos
Vitamina C 500mg 30 Comprimidos
Loratadina 10mg 20 Comprimidos
Glibenclamida 5mg 30 Comprimidos
Acetilcisteína 600mg 16 Comprimidos
Alprazolam 1mg 30 Comprimidos
Atenolol 100mg 30 Comprimidos
Clopidogrel 75mg 30 Comprimidos
Finasterida 1mg 30 Comprimidos
Glimepirida 4mg 30 Comprimidos
Lisinopril 20mg 30 Comprimidos
Enalapril 20mg 30 Comprimidos
Ranitidina 150mg 30 Comprimidos
Sertralina 50mg 30 Comprimidos
Tansulosina 0,4mg 30 Comprimidos
Clindamicina 300mg 16 Comprimidos
Neosaldina 500mg 30 Comprimidos
Tylenol 750mg 20 Comprimidos
Advil 600mg 20 Comprimidos
Amoxil 500mg 21 Comprimidos
Cozaar 50mg 30 Comprimidos
Zocor 20mg 30 Comprimidos
Losec 20mg 28 Comprimidos
Capoten 25mg 30 Comprimidos
Glifage 850mg 30 Comprimidos
Tenormin 50mg 30 Comprimidos
Meticorten 20mg 20 Comprimidos
Rivotril 2mg 30 Comprimidos
Prozac 20mg 28 Comprimidos
Zyrtec 10mg 20 Comprimidos
Voltaren 50mg 20 Comprimidos
Redoxon 500mg 30 Comprimidos
Claritin 10mg 20 Comprimidos
Daonil 5mg 30 Comprimidos
Fluimucil 600mg 16 Comprimidos
Frontal 1mg 30 Comprimidos
Atenol 100mg 30 Comprimidos
Plavix 75mg 30 Comprimidos
Propecia 1mg 30 Comprimidos
Amaryl 4mg 30 Comprimidos
Prinivil 20mg 30 Comprimidos
Renitec 20mg 30 Comprimidos
Antak 150mg 30 Comprimidos
Zoloft 50mg 30 Comprimidos
Secotex 0,4mg 30 Comprimidos
Dalacin C 300mg 16 Comprimidos
